"SourceFile","SourceLine","ElementName","RegisterCall"
"hud.c","1192","<dynamic-or-multiline>","hud_t * HUD_Register(char *name, char *var_alias, char *description, int flags, cactive_t min_state, int draw_order, hud_func_type draw_func, char *show, char *place, char *align_x, char *align_y, char *pos_x, char *pos_y, char *frame, char *frame_color, char *item_opacity, char *params, ...)"
"hud_armor.c","268","bar_armor","HUD_Register( ""bar_armor"", NULL, ""Armor bar."", HUD_PLUSMINUS, ca_active, 0, SCR_HUD_DrawBarArmor, ""0"", ""armor"", ""left"", ""center"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""height"", ""16"", ""width"", ""64"", ""direction"", ""1"", ""color_noarmor"", ""128 128 128 64"", ""color_ga_over"", ""48 160 0 128"", ""color_ga"", ""32 128 0 128"", ""color_ya"", ""192 128 0 128"", ""color_ra"", ""128 0 0 128"", ""color_unnatural"", ""255 255 255 128"", NULL );"
"hud_centerprint.c","228","centerprint","HUD_Register( ""centerprint"", NULL, ""Shows alerts from server, countdowns etc."", HUD_PLUSMINUS | HUD_ON_FINALE, ca_active, 0, SCR_HUD_DrawCenterPrint, ""0"", ""screen"", ""center"", ""center"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""scale"", ""1"", ""proportional"", ""0"", ""speed"", ""8"", NULL );"
"hud_clock.c","378","clock","HUD_Register( ""clock"", NULL, ""Shows current local time (hh:mm:ss)."", HUD_PLUSMINUS, ca_disconnected, 8, SCR_HUD_DrawClock, ""0"", ""top"", ""right"", ""console"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""big"", ""1"", ""style"", ""0"", ""scale"", ""1"", ""blink"", ""1"", ""format"", ""0"", ""proportional"", ""0"", ""content"", ""0"", NULL );"
"hud_clock.c","393","democlock","HUD_Register( ""democlock"", NULL, ""Shows current demo time (hh:mm:ss)."", HUD_PLUSMINUS, ca_disconnected, 7, SCR_HUD_DrawDemoClock, ""1"", ""top"", ""right"", ""console"", ""0"", ""8"", ""0"", ""0 0 0"", NULL, ""big"", ""0"", ""style"", ""0"", ""scale"", ""1"", ""blink"", ""0"", ""proportional"", ""0"", NULL );"
"hud_clock.c","406","gameclock","HUD_Register( ""gameclock"", NULL, ""Shows current game time (hh:mm:ss)."", HUD_PLUSMINUS, ca_disconnected, 8, SCR_HUD_DrawGameClock, ""1"", ""top"", ""right"", ""console"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""big"", ""1"", ""style"", ""0"", ""scale"", ""1"", ""blink"", ""1"", ""countdown"", ""0"", ""offset"", ""0"", ""proportional"", ""0"", NULL );"
"hud_clock.c","421","scoreclock","HUD_Register( ""scoreclock"", NULL, ""Shows current date and time on the scoreboard"", HUD_NO_DRAW | HUD_ON_INTERMISSION | HUD_ON_SCORES | HUD_ON_FINALE, ca_disconnected, 8, SCR_HUD_DrawScoreClock, ""1"", ""screen"", ""center"", ""bottom"", ""0"", ""-10"", ""0"", ""0 0 0"", NULL, ""scale"", ""1"", ""format"", ""%d-%m-%Y %H:%M:%S"", ""proportional"", ""0"", NULL );"
"hud_common.c","936","tracker","HUD_Register( ""tracker"", NULL, ""Shows deaths, frag streaks etc"", 0, ca_active, 0, SCR_HUD_DrawTracker, ""0"", ""screen"", ""left"", ""top"", ""0"", ""48"", ""0"", ""0 0 0"", NULL, ""scale"", ""1"", ""proportional"", ""0"", ""name_width"", ""0"", ""align_right"", ""0"", ""image_scale"", ""1"", NULL );"
"hud_common.c","948","notify","HUD_Register( ""notify"", NULL, ""Shows last console lines"", HUD_PLUSMINUS, ca_disconnected, 8, SCR_HUD_DrawNotify, ""0"", ""top"", ""left"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""rows"", ""4"", ""cols"", ""30"", ""scale"", ""1"", ""time"", ""4"", ""proportional"", ""0"", NULL );"
"hud_common.c","961","keys","HUD_Register( ""keys"", NULL, ""Shows which keys user does press at the moment"", 0, ca_active, 1, SCR_HUD_DrawKeys, ""0"", ""screen"", ""right"", ""center"", ""0"", ""0"", ""0.5"", ""20 20 20"", NULL, ""scale"", ""2"", ""player"", """", NULL );"
"hud_common.c","970","itemsclock","HUD_Register( ""itemsclock"", NULL, ""Displays upcoming item respawns"", 0, ca_active, 1, SCR_HUD_DrawItemsClock, ""0"", ""screen"", ""right"", ""center"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""timelimit"", ""5"", ""style"", ""0"", ""scale"", ""1"", ""filter"", """", ""proportional"", ""0"", ""backpacks"", ""0"", NULL );"
"hud_common.c","983","static_text","HUD_Register( ""static_text"", NULL, ""Static text (demos only)."", 0, ca_active, 0, SCR_HUD_DrawStaticText, ""0"", ""screen"", ""left"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""big"", ""0"", ""style"", ""0"", ""scale"", ""1"", ""text"", """", ""textalign"", ""left"", ""proportional"", ""0"", NULL );"
"hud_common.c","996","teamstackbar","HUD_Register( ""teamstackbar"", NULL, ""Shows relative stacks of each team."", HUD_PLUSMINUS, ca_active, 0, SCR_Hud_StackBar, ""0"", ""top"", ""left"", ""bottom"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""opacity"", ""0.8"", ""width"", ""200"", ""height"", ""8"", ""vertical"", ""0"", ""vertical_text"", ""0"", ""show_text"", ""1"", ""onlytp"", ""0"", ""scale"", ""1"", ""simpleitems"", ""1"", ""proportional"", ""0"", NULL );"
"hud_face.c","85","face","HUD_Register( ""face"", NULL, ""Your bloody face."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawFace, ""1"", ""screen"", ""center"", ""bottom"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""scale"", ""1"", NULL );"
"hud_frags.c","1535","frags","HUD_Register( ""frags"", NULL, ""Show list of player frags in short form."", 0, ca_active, 0, SCR_HUD_DrawFrags, ""0"", ""top"", ""right"", ""bottom"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""cell_width"", ""32"", ""cell_height"", ""8"", ""rows"", ""1"", ""cols"", ""4"", ""space_x"", ""1"", ""space_y"", ""1"", ""teamsort"", ""0"", ""strip"", ""1"", ""vertical"", ""0"", ""hidefrags"", ""0"", ""shownames"", ""0"", ""showteams"", ""0"", ""wipeout"", ""1"", ""padtext"", ""1"", ""showself_always"", ""1"", ""extra_spec_info"", ""ALL"", ""fliptext"", ""0"", ""style"", ""0"", ""bignum"", ""0"", ""colors_alpha"", ""1.0"", ""maxname"", ""16"", ""notintp"", ""0"", ""fixedwidth"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_frags.c","1567","teamfrags","HUD_Register( ""teamfrags"", NULL, ""Show list of team frags in short form."", 0, ca_active, 0, SCR_HUD_DrawTeamFrags, ""1"", ""ibar"", ""center"", ""before"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""cell_width"", ""32"", ""cell_height"", ""8"", ""rows"", ""1"", ""cols"", ""2"", ""space_x"", ""1"", ""space_y"", ""1"", ""strip"", ""1"", ""vertical"", ""0"", ""shownames"", ""0"", ""padtext"", ""1"", ""fliptext"", ""1"", ""style"", ""0"", ""extra_spec_info"", ""1"", ""onlytp"", ""0"", ""bignum"", ""0"", ""colors_alpha"", ""1.0"", ""maxname"", ""16"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_gamesummary.c","236","gamesummary","HUD_Register( ""gamesummary"", NULL, ""Shows total pickups & current weapons."", HUD_PLUSMINUS, ca_active, 0, SCR_Hud_GameSummary, ""0"", ""top"", ""left"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""onlytp"", ""0"", ""scale"", ""1"", ""format"", ""RYM myr"", ""circles"", ""0"", ""ratio"", ""4"", ""flash"", ""1"", ""proportional"", ""0"", NULL );"
"hud_gamesummary.c","251","scoremapname","HUD_Register( ""scoremapname"", NULL, ""Shows map name on the scoreboard"", HUD_NO_DRAW | HUD_ON_INTERMISSION | HUD_ON_SCORES | HUD_ON_FINALE, ca_disconnected, 8, SCR_HUD_DrawScoreMapName, ""0"", ""screen"", ""right"", ""bottom"", ""0"", ""-10"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""proportional"", ""0"", ""scale"", ""1"", NULL );"
"hud_groups.c","206","group1","HUD_Register( ""group1"", NULL, ""Group element."", HUD_NO_GROW, ca_disconnected, 0, SCR_HUD_Groups_Draw, ""0"", ""screen"", ""left"", ""top"", ""0"", ""0"", "".5"", ""0 0 0"", NULL, ""name"", ""group1"", ""width"", ""64"", ""height"", ""64"", ""picture"", """", ""pic_alpha"", ""1.0"", ""pic_scalemode"", ""0"", NULL );"
"hud_groups.c","218","group2","HUD_Register( ""group2"", NULL, ""Group element."", HUD_NO_GROW, ca_disconnected, 0, SCR_HUD_Groups_Draw, ""0"", ""screen"", ""center"", ""top"", ""0"", ""0"", "".5"", ""0 0 0"", NULL, ""name"", ""group2"", ""width"", ""64"", ""height"", ""64"", ""picture"", """", ""pic_alpha"", ""1.0"", ""pic_scalemode"", ""0"", NULL );"
"hud_groups.c","230","group3","HUD_Register( ""group3"", NULL, ""Group element."", HUD_NO_GROW, ca_disconnected, 0, SCR_HUD_Groups_Draw, ""0"", ""screen"", ""right"", ""top"", ""0"", ""0"", "".5"", ""0 0 0"", NULL, ""name"", ""group3"", ""width"", ""64"", ""height"", ""64"", ""picture"", """", ""pic_alpha"", ""1.0"", ""pic_scalemode"", ""0"", NULL );"
"hud_groups.c","242","group4","HUD_Register( ""group4"", NULL, ""Group element."", HUD_NO_GROW, ca_disconnected, 0, SCR_HUD_Groups_Draw, ""0"", ""screen"", ""left"", ""center"", ""0"", ""0"", "".5"", ""0 0 0"", NULL, ""name"", ""group4"", ""width"", ""64"", ""height"", ""64"", ""picture"", """", ""pic_alpha"", ""1.0"", ""pic_scalemode"", ""0"", NULL );"
"hud_groups.c","254","group5","HUD_Register( ""group5"", NULL, ""Group element."", HUD_NO_GROW, ca_disconnected, 0, SCR_HUD_Groups_Draw, ""0"", ""screen"", ""center"", ""center"", ""0"", ""0"", "".5"", ""0 0 0"", NULL, ""name"", ""group5"", ""width"", ""64"", ""height"", ""64"", ""picture"", """", ""pic_alpha"", ""1.0"", ""pic_scalemode"", ""0"", NULL );"
"hud_groups.c","266","group6","HUD_Register( ""group6"", NULL, ""Group element."", HUD_NO_GROW, ca_disconnected, 0, SCR_HUD_Groups_Draw, ""0"", ""screen"", ""right"", ""center"", ""0"", ""0"", "".5"", ""0 0 0"", NULL, ""name"", ""group6"", ""width"", ""64"", ""height"", ""64"", ""picture"", """", ""pic_alpha"", ""1.0"", ""pic_scalemode"", ""0"", NULL );"
