"SourceFile","SourceLine","ElementName","RegisterCall"
"hud.c","1192","<dynamic-or-multiline>","hud_t * HUD_Register(char *name, char *var_alias, char *description, int flags, cactive_t min_state, int draw_order, hud_func_type draw_func, char *show, char *place, char *align_x, char *align_y, char *pos_x, char *pos_y, char *frame, char *frame_color, char *item_opacity, char *params, ...)"
"hud_health.c","135","health","HUD_Register( ""health"", NULL, ""Part of your status - health level."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawHealth, ""1"", ""face"", ""after"", ""center"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""align"", ""right"", ""digits"", ""3"", ""proportional"", ""0"", NULL );"
"hud_health.c","148","healthdamage","HUD_Register( ""healthdamage"", NULL, ""Shows amount of damage done to your health."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawHealthDamage, ""0"", ""health"", ""left"", ""before"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""align"", ""right"", ""digits"", ""3"", ""duration"", ""0.8"", ""proportional"", ""0"", NULL );"
"hud_items.c","244","key1","HUD_Register( ""key1"", NULL, ""Part of your inventory - silver key."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawKey1, ""1"", ""ibar"", ""top"", ""left"", ""0"", ""64"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_items.c","253","key2","HUD_Register( ""key2"", NULL, ""Part of your inventory - gold key."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawKey2, ""1"", ""key1"", ""left"", ""after"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_items.c","262","ring","HUD_Register( ""ring"", NULL, ""Part of your inventory - invisibility."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawRing, ""1"", ""key2"", ""left"", ""after"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_items.c","271","pent","HUD_Register( ""pent"", NULL, ""Part of your inventory - invulnerability."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawPent, ""1"", ""ring"", ""left"", ""after"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_items.c","280","suit","HUD_Register( ""suit"", NULL, ""Part of your inventory - biosuit."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawSuit, ""1"", ""pent"", ""left"", ""after"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_items.c","289","quad","HUD_Register( ""quad"", NULL, ""Part of your inventory - quad damage."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawQuad, ""1"", ""suit"", ""left"", ""after"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_items.c","299","sigil1","HUD_Register( ""sigil1"", NULL, ""Part of your inventory - sigil 1."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawSigil1, ""0"", ""ibar"", ""left"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_items.c","308","sigil2","HUD_Register( ""sigil2"", NULL, ""Part of your inventory - sigil 2."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawSigil2, ""0"", ""sigil1"", ""after"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_items.c","317","sigil3","HUD_Register( ""sigil3"", NULL, ""Part of your inventory - sigil 3."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawSigil3, ""0"", ""sigil2"", ""after"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_items.c","326","sigil4","HUD_Register( ""sigil4"", NULL, ""Part of your inventory - sigil 4."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawSigil4, ""0"", ""sigil3"", ""after"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_net.c","346","net","HUD_Register( ""net"", NULL, ""Shows network statistics, like latency, packet loss, average packet sizes and bandwidth. Shown only when you are connected to a server."", HUD_PLUSMINUS, ca_active, 7, SCR_HUD_DrawNetStats, ""0"", ""top"", ""left"", ""center"", ""0"", ""0"", ""0.2"", ""0 0 0"", NULL, ""period"", ""1"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_net.c","357","netproblem","HUD_Register( ""netproblem"", NULL, ""Shows an icon if you are experiencing network problems"", HUD_NO_FRAME, ca_active, 0, SCR_HUD_NetProblem, ""1"", ""top"", ""left"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""scale"", ""1"", NULL );"
"hud_net.c","366","ping","HUD_Register( ""ping"", NULL, ""Shows most important net conditions, like ping and pl. Shown only when you are connected to a server."", HUD_PLUSMINUS, ca_active, 9, SCR_HUD_DrawPing, ""0"", ""screen"", ""left"", ""bottom"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""period"", ""1"", ""show_pl"", ""1"", ""show_min"", ""0"", ""show_max"", ""0"", ""show_dev"", ""0"", ""style"", ""0"", ""blink"", ""1"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_performance.c","303","fps","HUD_Register( ""fps"", NULL, ""Shows your current framerate in frames per second (fps)."" ""This can also show the minimum framerate that occured in the last measured period."", HUD_PLUSMINUS, ca_active, 9, SCR_HUD_DrawFPS, ""1"", ""gameclock"", ""center"", ""after"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""show_min"", ""0"", ""style"", ""0"", ""title"", ""1"", ""scale"", ""1"", ""drop"", ""70"", ""proportional"", ""0"", NULL );"
